,,,,,,,,,,,,,,,,,,,,
,SQUID,F39-A,L40-B,,,,,,,,,,,,,,,,,
,1/Mf,32.9,33.17,,,,,,,,,,,,,,,,,
,1/Min,24.6,26.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TES,2407-MI-1-F,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Rf,1.00E+05,Ω,FLL フィードバック抵抗,,,,,,,,,,,,,,,,
,Rs,2.00E-02,Ω,シャント抵抗,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1/Mf,33.17,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,1/Min,26.2,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,Mf,0.03014772385,Phi0 / uA,,,,,,,,,,,,,,,,,
,Min,0.03816793893,Phi0 / uA,,,,,,,,,,,,,,,,,
,Mf/Min,0.7898703648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,測定値,,,,,,,,,I-Vプロット用,,,R-Vプロット用,,,,R-I プロット用,,P-V プロット用,
,Ib [uA],Ib [A],SQUID out [V],Ites [A],Vtes [V],Rtes [Ω],Ptes [W],,,Vtes [V],Ites[A],,Vtes[V],Rtes[Ω],R ratio,,Ites[A],Rtes[Ω],Vtes [V],Ptes [W]
,8.10E+02,8.10E-04,2.15E-01,1.70E-06,1.62E-05,9.53E+00,2.74E-11,,,1.62E-05,1.70E-06,,1.62E-05,9.53E+00,0.983,,1.70E-06,9.53E+00,1.62E-05,2.74E-11
,8.05E+02,8.05E-04,2.13E-01,1.69E-06,1.61E-05,9.53E+00,2.71E-11,,,1.61E-05,1.69E-06,,1.61E-05,9.53E+00,0.983,,1.69E-06,9.53E+00,1.61E-05,2.71E-11
,8.00E+02,8.00E-04,2.12E-01,1.68E-06,1.60E-05,9.53E+00,2.68E-11,,,1.60E-05,1.68E-06,,1.60E-05,9.53E+00,0.983,,1.68E-06,9.53E+00,1.60E-05,2.68E-11
,7.95E+02,7.95E-04,2.11E-01,1.67E-06,1.59E-05,9.52E+00,2.65E-11,,,1.59E-05,1.67E-06,,1.59E-05,9.52E+00,0.982,,1.67E-06,9.52E+00,1.59E-05,2.65E-11
,7.90E+02,7.90E-04,2.10E-01,1.66E-06,1.58E-05,9.52E+00,2.61E-11,,,1.58E-05,1.66E-06,,1.58E-05,9.52E+00,0.982,,1.66E-06,9.52E+00,1.58E-05,2.61E-11
,7.85E+02,7.85E-04,2.09E-01,1.65E-06,1.57E-05,9.51E+00,2.58E-11,,,1.57E-05,1.65E-06,,1.57E-05,9.51E+00,0.981,,1.65E-06,9.51E+00,1.57E-05,2.58E-11
,7.80E+02,7.80E-04,2.07E-01,1.64E-06,1.56E-05,9.50E+00,2.55E-11,,,1.56E-05,1.64E-06,,1.56E-05,9.50E+00,0.980,,1.64E-06,9.50E+00,1.56E-05,2.55E-11
,7.75E+02,7.75E-04,2.06E-01,1.63E-06,1.55E-05,9.51E+00,2.52E-11,,,1.55E-05,1.63E-06,,1.55E-05,9.51E+00,0.981,,1.63E-06,9.51E+00,1.55E-05,2.52E-11
,7.70E+02,7.70E-04,2.05E-01,1.62E-06,1.54E-05,9.49E+00,2.49E-11,,,1.54E-05,1.62E-06,,1.54E-05,9.49E+00,0.979,,1.62E-06,9.49E+00,1.54E-05,2.49E-11
,7.65E+02,7.65E-04,2.04E-01,1.61E-06,1.53E-05,9.48E+00,2.46E-11,,,1.53E-05,1.61E-06,,1.53E-05,9.48E+00,0.978,,1.61E-06,9.48E+00,1.53E-05,2.46E-11
,7.60E+02,7.60E-04,2.02E-01,1.60E-06,1.52E-05,9.49E+00,2.42E-11,,,1.52E-05,1.60E-06,,1.52E-05,9.49E+00,0.979,,1.60E-06,9.49E+00,1.52E-05,2.42E-11
,7.55E+02,7.55E-04,2.02E-01,1.59E-06,1.51E-05,9.47E+00,2.40E-11,,,1.51E-05,1.59E-06,,1.51E-05,9.47E+00,0.977,,1.59E-06,9.47E+00,1.51E-05,2.40E-11
,7.50E+02,7.50E-04,2.00E-01,1.58E-06,1.50E-05,9.46E+00,2.37E-11,,,1.50E-05,1.58E-06,,1.50E-05,9.46E+00,0.976,,1.58E-06,9.46E+00,1.50E-05,2.37E-11
,7.45E+02,7.45E-04,1.99E-01,1.57E-06,1.49E-05,9.46E+00,2.34E-11,,,1.49E-05,1.57E-06,,1.49E-05,9.46E+00,0.976,,1.57E-06,9.46E+00,1.49E-05,2.34E-11
,7.40E+02,7.40E-04,1.98E-01,1.56E-06,1.48E-05,9.45E+00,2.31E-11,,,1.48E-05,1.56E-06,,1.48E-05,9.45E+00,0.975,,1.56E-06,9.45E+00,1.48E-05,2.31E-11
,7.35E+02,7.35E-04,1.97E-01,1.55E-06,1.47E-05,9.45E+00,2.28E-11,,,1.47E-05,1.55E-06,,1.47E-05,9.45E+00,0.974,,1.55E-06,9.45E+00,1.47E-05,2.28E-11
,7.30E+02,7.30E-04,1.95E-01,1.54E-06,1.46E-05,9.45E+00,2.25E-11,,,1.46E-05,1.54E-06,,1.46E-05,9.45E+00,0.974,,1.54E-06,9.45E+00,1.46E-05,2.25E-11
,7.25E+02,7.25E-04,1.94E-01,1.54E-06,1.45E-05,9.43E+00,2.22E-11,,,1.45E-05,1.54E-06,,1.45E-05,9.43E+00,0.972,,1.54E-06,9.43E+00,1.45E-05,2.22E-11
,7.20E+02,7.20E-04,1.93E-01,1.52E-06,1.44E-05,9.43E+00,2.19E-11,,,1.44E-05,1.52E-06,,1.44E-05,9.43E+00,0.973,,1.52E-06,9.43E+00,1.44E-05,2.19E-11
,7.15E+02,7.15E-04,1.92E-01,1.51E-06,1.43E-05,9.42E+00,2.16E-11,,,1.43E-05,1.51E-06,,1.43E-05,9.42E+00,0.972,,1.51E-06,9.42E+00,1.43E-05,2.16E-11
,7.10E+02,7.10E-04,1.91E-01,1.51E-06,1.42E-05,9.41E+00,2.13E-11,,,1.42E-05,1.51E-06,,1.42E-05,9.41E+00,0.971,,1.51E-06,9.41E+00,1.42E-05,2.13E-11
,7.05E+02,7.05E-04,1.90E-01,1.50E-06,1.41E-05,9.40E+00,2.11E-11,,,1.41E-05,1.50E-06,,1.41E-05,9.40E+00,0.969,,1.50E-06,9.40E+00,1.41E-05,2.11E-11
,7.00E+02,7.00E-04,1.88E-01,1.49E-06,1.40E-05,9.40E+00,2.08E-11,,,1.40E-05,1.49E-06,,1.40E-05,9.40E+00,0.969,,1.49E-06,9.40E+00,1.40E-05,2.08E-11
,6.95E+02,6.95E-04,1.87E-01,1.48E-06,1.39E-05,9.38E+00,2.05E-11,,,1.39E-05,1.48E-06,,1.39E-05,9.38E+00,0.968,,1.48E-06,9.38E+00,1.39E-05,2.05E-11
,6.90E+02,6.90E-04,1.86E-01,1.47E-06,1.38E-05,9.38E+00,2.02E-11,,,1.38E-05,1.47E-06,,1.38E-05,9.38E+00,0.968,,1.47E-06,9.38E+00,1.38E-05,2.02E-11
,6.85E+02,6.85E-04,1.85E-01,1.46E-06,1.37E-05,9.37E+00,2.00E-11,,,1.37E-05,1.46E-06,,1.37E-05,9.37E+00,0.966,,1.46E-06,9.37E+00,1.37E-05,2.00E-11
,6.80E+02,6.80E-04,1.84E-01,1.45E-06,1.36E-05,9.35E+00,1.97E-11,,,1.36E-05,1.45E-06,,1.36E-05,9.35E+00,0.965,,1.45E-06,9.35E+00,1.36E-05,1.97E-11
